epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants,vaccinated_third,vaccinated_third_per_100_inhabitants,codigo_uf,uf,nome,latitude,longitude,regiao,populacao,obitos_por_100k,media_movel_obitos
12,2020-03-17,Brazil,AC,TOTAL,0,0,3,3,0,0,0.0,0.34016,0.0,,,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
12,2020-03-18,Brazil,AC,TOTAL,0,0,0,3,0,0,0.0,0.34016,0.0,,,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
12,2020-03-19,Brazil,AC,TOTAL,0,0,1,4,0,3,0.0,0.45355,0.0,,,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
12,2020-03-20,Brazil,AC,TOTAL,0,0,3,7,0,7,0.0,0.79371,0.0,,,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
12,2020-03-21,Brazil,AC,TOTAL,0,0,4,11,0,9,0.0,1.24726,0.0,,,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
13,2020-03-22,Brazil,AC,TOTAL,0,0,0,11,0,11,0.0,1.24726,0.0,,,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
13,2020-03-23,Brazil,AC,TOTAL,0,0,6,17,0,11,0.0,1.92758,0.0,,230.0,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
13,2020-03-24,Brazil,AC,TOTAL,0,0,4,21,0,17,0.0,2.38113,0.0,,230.0,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
13,2020-03-25,Brazil,AC,TOTAL,0,0,2,23,0,23,0.0,2.6079,0.0,,230.0,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
13,2020-03-26,Brazil,AC,TOTAL,0,0,1,24,0,24,0.0,2.72129,0.0,,76.0,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
13,2020-03-27,Brazil,AC,TOTAL,0,0,1,25,0,25,0.0,2.83468,0.0,,76.0,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
13,2020-03-28,Brazil,AC,TOTAL,0,0,0,25,0,25,0.0,2.83468,0.0,,76.0,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
14,2020-03-29,Brazil,AC,TOTAL,0,0,9,34,0,34,0.0,3.85516,0.0,,76.0,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
14,2020-03-30,Brazil,AC,TOTAL,0,0,8,42,0,42,0.0,4.76226,0.0,10.0,63.0,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
14,2020-03-31,Brazil,AC,TOTAL,0,0,0,42,0,42,0.0,4.76226,0.0,10.0,41.0,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
14,2020-04-01,Brazil,AC,TOTAL,0,0,1,43,0,43,0.0,4.87564,0.0,10.0,41.0,,,,,,,,,,,12,AC,Acre,-8.77,-70.55,Norte,12,0.0,0.0
